TOPIC;Event / subtopic;Hashtags;;;;;;;;;;;;;;;;;;;;;;
social issues;5G;"#5G
#5gtowers
#covid1984
#conspiracytheory";;;;;;;;;;;;;;;;;;;;;;
violence & war;Afghanistan war;"#taliban
#isis
#alratv
#younusalgohar
#goharshahi
#afghanistan
#daesh
#isil
#alqaeda
#mehdifoundation
#saveidlib
#islamicstate
#assad
#warinafghanistan
#iranarmy
#freeafghanistan
#fuckasad
#saveafghanistan
#islam
#terrorism
#terrorist
#religion
#dashtebarchi
#dashte
#barchi
#kuzkunar
#kunar";;;;;;;;;;;;;;;;;;;;;;
social issues;Anglo-Australian usurpation;"#mining
#riotinto
#juukangorge";;;;;;;;;;;;;;;;;;;;;;
science & technology;Anthropology;"#dna
#neanderthal ";;;;;;;;;;;;;;;;;;;;;;
social issues;Anti racism (Black Lives Matter);"#blm
#blacklivesmatter
#georgefloyd
#justiceforgeorgefloyd
#protest
#justice
#racism
#nojusticenopeace
#icantbreathe
#policebrutalit
#blackgirlmagic
#blackexcellence
#blackhistory
#blackouttuesday
#bhfyp
#acab
#blackpower
#alllivesmatter
#peacefulprotest
#blackmen
#breonnataylor
#blackwomen
#ahmaudarbery
#police
#blacklove
#blackqueen
#justiceforahmaud
#endracism
#resist
#blackandwhite
#BlackLivesMattters
#blackexcellence
#blackgirlmagic
#melanin
#blackwomen
#blacklove
#blackpower
#black
#africa
#blackisbeautiful
#blackgirlsrock
#blackmen
#blackwoman
#melaninpoppin
#africanamerican
#blackqueen
#blm
#supportblackbusiness
#blackgirls
#blackpeople
#resist
#blackhistory
#buyblack
#blackpride";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Antifa movement;"#antifa
#fcknzs
#antifascist
#acab
#fckafd
#anarchism
#socialism
#communism
#trump
#antifascista
#anarchy
#punk
#nazisraus
#maga
#marxism
#revolution
#antifascism
#ultras
#keinmenschistillegal
#wirsindmehr
#anarchist
#blm
#gegennazis
#keinbockaufnazis
#bhfyp";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Brexit;"#brexitmemes
#gcse
#peoplesvote
#revokearticle
#stopbrexit
#brexitday
#jeremycorbyn";;;;;;;;;;;;;;;;;;;;;;
health;COVID;"#Coronavirusmexico
#covid2019
#coronavirususa
#covid_19uk
#covid-19uk
#Briefing_COVID19
#coronaapocolypse
#coronavirusbrazil
#marchapelocorona
#coronavirusbrasil
#coronaday
#coronafest
#coronavirusu
#covid2019pt
#COVID19PT
#caronavirususa
#covid19india
#caronavirusindia
#caronavirusoutbreak
#caronavirus
carona virus
#2019nCoV
2019nCoV
#codvid_19
#codvid19
#conronaviruspandemic
#corona
corona
corona vairus
corona virus
#coronadeutschland
#Coronaferien
#coronaflu
#coronaoutbreak
#coronapandemic
#Coronapanik
#coronapocalypse
#CoronaSchlager
#coronavid19
#coronavid19
#Coronavirus
Coronavirus
#coronavirusargentina
#coronavirusbrasil
#CoronaVirusCanada
#coronaviruschile
#coronaviruscolombia
#CoronaVirusDE
#coronavirusecuador
#CoronavirusEnColombia
#coronavirusespana
CoronavirusFR
#CoronavirusFR
#coronavirusIndonesia
#Coronavirusireland
#CoronaVirusIreland
#coronavirusmadrid
#coronavirusmexico
#coronavirusnobrasil
#coronavirusnyc
#coronavirusoutbreak
#coronavirusoutbreak
#coronaviruspandemic
#coronavirusperu
#coronaviruspuertorico
#coronavirusrd
#coronavirustruth
#coronavirusuk
coronavirusupdate
#coronavirusupdates
#coronavirusuruguay
coronga virus
corongavirus
#Corvid19virus
#covd19
#covid
covid
#covid
covid
covid 19
#covid_19
#covid_19
Covid_19
#COVID_19uk
#covid19
Covid19
Covid19_DE
#covid19Canada
Covid19DE
Covid19Deutschland
#covid19espana
#covid19france
#covid19Indonesia
#covid19ireland
#covid19uk
#covid19usa
#covid2019
#ForcaCoronaVirus
#infocoronavirus
#kamitidaktakutviruscorona
#nCoV
nCoV
#ncov2019
nCoV2019
NeuerCoronavirus
#NeuerCoronavirus
Nouveau coronavirus
#NouveauCoronavirus
novel coronavirus
#NovelCorona
novelcoronavirus
#novelcoronavirus
#NovelCoronavirus
#NuovoCoronavirus
#ohiocoronavirus
#PánicoPorCoranovirus
#SARSCoV2
#SARSCoV2
the coronas
#thecoronas
#trumpdemic
Virus Corona
#viruscorona
فيروس كورونا
#فيروس_كورونا
#كورونا
#كورونا_الجديد
#कोरोना
कोरोना
कोरोना वायरस
#कोरोना_वायरस
코로나
#코로나
#코로나19
코로나바이러스
#코로나바이러스
コロナ
#コロナ
#コロナウイルス
加油武汉
#加油武汉
#新冠病毒
新冠病毒
#新冠肺炎
新冠肺炎
#新型コロナウイルス
#新型冠状病毒
新型冠状病毒
武汉加油
#武汉加油
#武汉疫情
#武汉肺炎
武汉肺炎
#武漢肺炎
武漢肺炎
疫情
#疫情
#CoronaAlert
#coronavirusUP
#coronavirustelangana
#coronaviruskerala
#coronavirusmumbai
#coronavirusdelhi
#coronavirusmaharashtra
#coronavirusinindia
वूहान
#covid_19ind
#covid19india
coronavirus india
#coronavirusindia
#कोविड_19
#कोविड-१९
#कोरोनावायरस
#bayarealockdown
#stayathomechallenge
#stayhomechallenge
#quarantinelife
#dontbeaspreader
#stayhomechallenge
#howtokeeppeoplehome
#togetherathome
alcool em gel
alcool gel
#alcoolemgel
#alcoolgel
#avoidcrowds
bares cerrados
bares fechados
bars closed
#canceleverything
#CerradMadridYa
clases anuladas
#CLOSENYCPUBLICSCHOOLS
#confinementtotal
#CONVID19
#CoronavirusESP
cuarentena
#cuarentena
#CuarentenaCoronavirus
#cuarentenaYA
dont touch ur face
dont touch your face
#DontBeASpreader
#donttouchyourface
escolas fechadas
escolas fechando
escolas sem aula
escolas sem aulas
#euficoemcasa
evitar el contagio
#ficaemcasa
flatten the curve
flattening the curve
#flatteningthecurve
#flattenthecurve
#FrenaLaCurva
Hand sanitizer
#Handsanitizer
#HoldTheVirus
lava tu manos
#lavatumanos
lave as mãos
#laveasmaos
#lockdown
lockdown
#pandemic
pandemic
#panicbuying
#panickbuing
quarantaine
#quarantine
quarantine
#QuarantineAndChill
quarantined
quarentena
#quarentena
#quarentine
#quarentined
quarentined
#quarentinelife
#quedateencasa
#remotework
#remoteworking
restaurantes cerrados
restaurantes fechados
restaurants closed
#selfisolating
#SiMeContagioYo
social distancing
#socialdistance
#socialdistancing
#socialdistancingnow
#socialdistnacing
#stayathome
#stayathome
#stayhome
#stayhome
#stayhomechallenge
#stayhomesavelives
#StayTheFHome
#StayTheFuckHome
#suspendanlasclases
teletrabajo
#teletrabajo
#ToiletPaperApocalypse
#toiletpaperpanic
trabajadores a la calle
trabajar desde casa
#trabajardesdecasa
trabalhando de casa
trabalhar de casa
wash ur hands
wash your hands
#washurhands
#washyourhands
#WashYourHandsAgain
#wfh
work from home
#workfromhome
working from home
#workingfromhome
#yomequedoencasa
#2019_ncov
#21dayslockdown
#5baje5minute
#9minute9baje
#9minutesforindia
#9बजे9मिनट
#AislamientoObligatorio
#aksiberantasCovid19
#AlertaCOVID19SV
#ampliarlacuarentenaes
#auxilioemergencial
#BersamaMelawanCorona
#bersatulawancovid19
#bloqueioderuas
#Bogotaencasa
#bolsonarogenocida
#BreakCorona
#cadeostestes
#californialockdown
#californiaquarantine
#californiashutdown
#calockdown
#capitaocorona
#CegahTangkalCorona
#chegadequarentena
#clapforourcarers
#ClubQuarantine
#CoronaChainScare
#CoronaCitizenResponsibility
#CoronaCrises
#coronacrises
#CoronaCrisis
#coronafreepakistan
#CoronaInPakistan
#coronakrise
#coronalockdown
#coronanasperiferias
#coronapandemie
#coronapandemie
#CoronaStopKaroNa
#coronaupdate
#coronaupdatesindia
#CoronaVillains
#coronaviru
#CoronavirusBillUK
#CoronaVirusFromMinorChastisement
#coronavirusinsa
#coronavirusitalia
#coronavirusitaly
#coronaviruslombardia
#coronavirusoubreak
#coronavirusplantao
#CoronavirusPlantao
#CoronaVirusSA
#CoronavirusSchweiz
#coronavirussouthafrica
#CoronavirusSuisse
#CoronavirusSwitzerland
#coronavoucher
#coronawarriors
#coronawarriors
#coronazeit
#coronovirus
#coronvirus
#corronavirus
#Covid19_CH
#covid19brasil
#Covid19CH
#covid19ecuador
#Covid19InSA
#COVID19italia
#covid19out
#Covid19Schweiz
#covid19southafrica
#covidactnow
#covideos
#covididiots
#covidiots
#covidsafe
#CuarentenaHastaJunioEs
#CuarentenaInformando
#cuarentenametadata
#cubaporlasalud
#cubasalvavidas
#CubriendoElCoronavirus
#CurfewInIndia
#CurfewInIndia
#CuronaVairus
#curonavirus
#depoisdaquarentenaeu
#dirumahaja
#disciplinaparavolver
#disiplincegahcorona
#ecuadorencrisis
#ecuadorenemergencia
#eunaquarentena
#FightCoronaWithJokowi
#fiqueemcasa
#FlexibilizarElAislamientoEs
#frontline_warriors_intern
#frontlineheroes
#frontlineworkers
#frontlineworkersappreciation
#GerakanSocialDistancing
#homeschool
#homeschooling
#HomeTasking
#hydroxychloroquine
#indiafightcorona
#indiaprotectdoctors
#indonesialawancorona
#indonesialawancovid19
#JagaDiriJagaJarak
#JanataCurfewMarch22
#JantaCurfewChallenge
#KanikaCoronaRow
#KanikaKaCoronaCrime
#koronaindonesia
#koronavirusIndonesia
#LaPrevenciónEstáEnTusManos
#LawanCorona
#LawanCoronaBersama
#lawancovid19
#LawanCovid19
#LetsDefeatCOVID19Together
#Lockdowhustle
#lockdown21
#LockdownEnd
#LockdownNow
#lockdowntillmay3
#losangeleslockdown
#mascaras
#mascarasalva
#mascarilla
#mascarillas
#mascarillassolidarias
#masks4all
#maskuplagos
#micasaesmiplaza
#michiganshutdown
#ModiKiBaatMano    
#mp927
#mpdafome
#mpdamorte
#mpdobolsonaro
#mumbailockdown
#n95
#NeuerCoronavirusSchweiz
#NoAlAislamientoInteligente
#NotDying4WallStreet
#notessential
#obrasilnaopodeparar
#OBrasilnaoVaiParar
#obrasilvaiparar
#OneTeamFromHome
#onlineclasses
#ParemosElVirus
#PMCares
#PPE
#ppeshortage
#pralernaquarentena
#PrioridadDineroOSalud
#QuarantineMoneyMakingIdeas
#quaratinelife
#quarentenabrasil
#quarentenaLGBTQ
#quarentenou
#quaretenabrasil
#QuaronaVirus
#ReceitasDaQuarentena
#remdesivir
#SCNaoQuerMorrer
#selfemployedmattertoo
#SendUsBackHome
#ShamblesStayAtHome
#sideeffectsofquarantinelife
#Social_Distancing
#sosecuador
#spcontraocoronavirus
#SRKDonatesForCovid
#stayathomeorder
#StayAtHomeReadABook
#StayAtHomeSaveLives
#stayhomestaysafe
#suspendonlineclasses
#taxarfortunassalvarvidas
#TaxarFortunasSalvarVidas
#TaxarFortunasSalvarVidas
#testesmasivosja
#testesmassivosja
#ThaliBajao
#thankyouwarriors
#UKCoronavirusBill
#uklockdown
#UNExigimosGarantiasLaborales
#unidosvenceremos
#UNSuspendanClasesOParamos
#unsuspendanclasesya
#UNSuspendanlasClasesOParamos
#usemascara
#vaipassar
#vegasshutdown
#viviremosyvenceremos
#VivirEnCuarentenaEs
#WarAgainstVirus
#waragainstvirus
#wearamask
#WhenCoronaVirusIsOver
#WhoPaysForCovid
#WorkingFromHomeLife
#workingfromhometips
#अंधेर_नगरी_चौपट_राजा
#मोदीजी_हम_दीप_नहीं_जलाएंगे
#ウイルス付着
#うちで過ごそう
#おうち時間
#コロナに負けるな
#コロリンピック
#ステイホーム
#ソーシャルディスタンス
#ロックダウン
#外出禁止
#外出自粛
#新しい生活様式
#東京コロリンピック
#特別定額給付金
#緊急事態宣言
aula online
auxilio emergencial
Bloody Diwali
bloqueio de ruas
bloqueio de vias
bloqueio em vias
bloqueou as ruas
coron virus
corona voucher
coronaa virus
coronga vairus
corono virus
coronovirus
corrona virus
Curona Vairus
curona virus
Diwali In April
Ecoronavirusescuador
en primera linea
essencial service
essencial services
essential service
essential services
face shield
face shields
Frontline
hand sanitisers
health worker
health workers
homeschooling
hydroxychloroquine
India for 21
India Hum Honge Kamyab
linha de frente
mascara
mascarilla
mascarillas
mascarillas desechables
n95 mask
no mask
personal protective equipment
PPE
primera línea de la salud
quarentenou
Quarona Virus
remdesivir
servicio esencial
servicios esenciales
serviços essenciais
Shankh
trabajador sanitario
Trabajadora sanitaria
trabajadores de la salud
trabalhador essencial
trabalhadores essenciais
ウイルス付着
コロナウィルス
コロリンピック
ソーシャルディスタンス
ロックダウン
外出禁止
外出自粛
定額給付金
新しい生活様式
緊急事態宣言
#LockdownLife
#LockdownExtended
#lockdowneffect
#mortonaocompra
#isolamentoparcial
isolamento parcial
#lockdownparcial
#mortonaovota
passaportes de imunidade
imunidade de rebanho
#UnitedAgainstCoronavirus
#CovidISSNAF
testes em humanos
human trials
gripezinha
the vi";;;;;;;;;;;;;;;;;;;;;;
violence & war;Daesh ;"#extremism
#islam
#messiahfoundationinternational
#islamism
#mehdifoundation
#saudiarabia
#islamicstate
#wahhabism
#wahhabi
#fanaticism
#iamauniversalsufi
#radicalislam
#lordrariaz
#charliehebdorally
#BokoHaram";;;;;;;;;;;;;;;;;;;;;;
social issues;Digital rights;"#privacy
#alphabet";;;;;;;;;;;;;;;;;;;;;;
health;Ebola;"#ebola
#ebolavirus
#ecoli";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in Bangladesh;"#Amphan
#DidiAchheChintaNei
#SSC_UFM_ROWLATT_ACT
#RedVolunteers";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in Mexico ;"#earthquake
#Terremoto
#Temblor
#Sismo
#Oaxaca";;;;;;;;;;;;;;;;;;;;;;
environment;Environmental disaster in Australia;"#australianbushfires
#fires
#nswbushfires
#koala
#smoke
#climateemergency
#prayforaustralia
#nswrfs
#australiabushfires
#australiafires
#drought
#totalfireban
#globalwarming
#watchandact
#ses
#rfs
#newsouthwales";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in India;"#nisarga
#nisargacyclon";;;;;;;;;;;;;;;;;;;;;;
social issues;Environmental disaster in India;#LGPolymers;;;;;;;;;;;;;;;;;;;;;;
environment;Environmental disaster in Russia;"#ArcticOilSpill
#Ambarnaya
#NorilskNickel ";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in Somalia;"#Beledweyne
#Jowhar
#flood";;;;;;;;;;;;;;;;;;;;;;
culture;Eurovision;"#eurovision
#esc
#eurovisionsongcontest";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Eurozone;"#erm
#ermii
#euroarea";;;;;;;;;;;;;;;;;;;;;;
culture;Fake news;"#pseudoscience
#fakenews";;;;;;;;;;;;;;;;;;;;;;
social issues;Flight crash in Pakistan;"#pk8303
#karachi
#flightpk8303";;;;;;;;;;;;;;;;;;;;;;
culture;Football;"#eurocup
#EURO2020
#NationsLeague
#EuropeanQualifiers
#copaamerica
#conmebol
#copaAmérica
#uefa
#bundesliga";;;;;;;;;;;;;;;;;;;;;;
social issues;Hong Kong Protests;"#hongkongprotests
#hkpolicebrutality
#hongkongprotesters
#standwithhongkong
#standwithhonkong
#hongkongpolicestate
#hkpoliceterrorists
#hongkongers
#hongkongprotest
#ccpchinajudgmentday
#hkpoliceterrorists
#hkpolicebrutality
#chinazi
#ccp_is_terrorist
#antiELAB
#HongKongProtests
#HKProtests
#FreeHongKong
#反送中
#NoExtraditionToChina
#LiberateHongKong
#RevolutionOfOurTimes
#FightForFreedom
#DemocracyForHK
#HKResist
#SaveHK
#StandWithHK
#Shout4HK
#StandWithHK
#PressFreedom
#5DemandsNot1Less
#FightForFreedom
#followbackhongkong
#NeverGiveUp
#NeverForget
#hkpolicebrutality
#HKPoliceTerrorists
#MagnitskyActNow
#HongKong
#Eye4HK
#EyeforHK
#GloryToHongKong
#GoodMourningCCP
#NotMyNationalDay
#70YearsOfShame
#AntiMaskLaw
#Mask4HK
#FreeKingKong
#LoveKingKong
#SaveKingKong
#BeWater
#BeWaterMyFriend
#BoycottBeijing2022
#Chinazi2022
#BoycottChina
#ResistBeijing
#AntiCCP
#XinnieThePooh
#BoycottTencent
#BoycottHuawei
#BoycottQQ
#BoycottBaidu
#BoycottWechat
#XinnieThePooh
#MeiForHK
#FreeKingKong
#D7777
#Chinazi
#QuitTikTok
#BoycottMulan
#BoycottBlizzard
#BandinChina
#CommunistNBA";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Irish elections;"#taoiseach
micheál martin
fine gael
#leovaradkar
irish government";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Israeli–Palestinian conflict;"#palestinewillbefree
#peacepalestine
#palestinalibre
#librepalestina
#palestineforever
#alquds
#alqudscapitalofpalestine
#jesuispalestine
#savegaza
#freegaza
#savepalestine
#freepalestine
#withpalestine
#Netanyahu
#Jordanvalley
#Jordan
#anexion";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Kim Jong-un health;"#kimjongun
#segi
#northkorea
#kekeyi
#jokowi
#dirumahaja
#aniesbaswedan
#dedycorbuzier
#reemarmartin";;;;;;;;;;;;;;;;;;;;;;
social issues;Lebanon riots ;#hassandiab;;;;;;;;;;;;;;;;;;;;;;
health;Legalization of cannabis in Lebanon;"#cannabis
#LebaneseParliament
#MichelAoun
#cannabis
#beirut
#لبنان";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Lesotho's Prime Minister resignation;"#Ntate
#Thabane
#LesothoPM
#ResignThabane
#TomThabane";;;;;;;;;;;;;;;;;;;;;;
health;LGBTI rights;"#samesex
#pride
#gay
#lgbt
#lgbtq
#loveislove
#love
#lesbian
#queer
#instagay
#gaypride
#pridemonth
#bisexual
#gayboy
#trans
#transgender
#rainbow
#dragqueen
#lovewins
#lgbtpride
#pansexual
#like
#nonbinary
#bi
#lgbtqia
#gaylove
#drag";;;;;;;;;;;;;;;;;;;;;;
violence & war;Libyan Civil War;"#haftar
#khalifahaftar
#lna";;;;;;;;;;;;;;;;;;;;;;
science & technology;Malaria;"#Microsporidia
#malaria";;;;;;;;;;;;;;;;;;;;;;
violence & war;Mass killing in Canada;"#Portapique
#NovaScotiaShooting
#Portapique
#publicinquiry
#MassMurder
#CallItFemicide
#canfem
#NovaScotiaStrong
#NovaScotia
#Halifax
#RCMP
#JustinTrudeau
#NovaScotianLivesMatter
#guncontrol
#DarkToLight
#QAnons
#cdnpoli";;;;;;;;;;;;;;;;;;;;;;
violence & war;Myanmar human rights conflict;#ArakanArmy;;;;;;;;;;;;;;;;;;;;;;
politics & economy;North Korea international affairs;"Inter-Korean Liaison Office
#NorthKorea
#KimJongUn";;;;;;;;;;;;;;;;;;;;;;
politics & economy;OECD;"#oecd
#ocde";;;;;;;;;;;;;;;;;;;;;;
culture;Olympics;"#olympics
#olympicgames
#olympic
#winterolympics
#roadtotokyo";;;;;;;;;;;;;;;;;;;;;;
science & technology;Paleontology;"#fossil
#kerrera";;;;;;;;;;;;;;;;;;;;;;
violence & war;Persian Gulf crisis;"#war
#tehran
#qasem
#qasemsoleimani
#freeiran
#qanon
#khamenei
#wwiii
#foreignpolicy
#irak
#soleimani
#AirlinesFlight752
#konarak
#jamaran";;;;;;;;;;;;;;;;;;;;;;
culture;Philippines conflict;#ABS-CBN;;;;;;;;;;;;;;;;;;;;;;
religion;Pope Francis livestreams cult;"#pope
#catholic
#vatican
#popefrancis
#jesus
#catholicchurch
#church
#catholicism
#christian
#vaticano
#papa
#roma
#god
#papafrancisco
#jj
#outerbanks
#obx
#johnb
#bible
#christianity
#faith
#vaticancity
#kiara
#jesuschrist
#pray
#religion
#papafrancesco
#history
#chasestokes
#madisonbailey
#netflix
#madelyncline
#romancatholic
#romancatholicchurch
#johnpaulii
#sarahcameron
#pogues
#christ
#saint
#popebenedictxvi
#outerbanksnetflix
#outerbanksedit
#josephratzinger
#catholics
#catolicos
#pape
#karolwojtyla
#benedictxvi";;;;;;;;;;;;;;;;;;;;;;
violence & war;Rwandan genocide;"#FélicienKabuga
#genocidio
#genocide
#Félicien
#Kabuga";;;;;;;;;;;;;;;;;;;;;;
social issues;Saudi Arabia bans criminal minors' executions;"#deathpenalty
#minors
#juvenilejustice";;;;;;;;;;;;;;;;;;;;;;
violence & war;Sino-Indian border conflict;"#GalwanValley
#Ladakh
#LAC
#LOC
#AksaiChina
#nathula";;;;;;;;;;;;;;;;;;;;;;
environment;Space;"#skylivetv
#solareclipse
#EclipseTotalDeSol
#toi1338b
#arrokoth
#nasa
#newhorizons
#BepiColombo
#BepiColomboEarthFlyby
#magnetar
#DragonX
#Endeavour
#spacex
#capecanaveral
#ufo
#luiselizondo
#ovni
#ovnis
#ufos
#alien
#aliens
#SpaceX
#spacexlaunch
#GPSIII
#spacex
#nasa
#space
#elonmusk
#science
#tesla
#falcon
#astronomy
#mars
#universe
#rocket
#astronaut
#iss
#moon
#earth
#cosmos
#astrophysics
#isro
#physics
#spacexlaunch
#galaxy
#blackhole
#spaceexploration
#starship
#esa
#spaceflight
#rocketlaunch
#stars
#spaceship""";;;;;;;;;;;;;;;;;;;;;;
violence & war;Syria civil war;"#syriancivilwar
#syria
#war
#syrianwar
#refugees
#basharalassad
#aleppo
#military
#dictator#bombs
#syrian
#bashar
#dictatorship
#aleppoprovince
#shelling
#maysun
#maysunphoto
#stringer
#AlKhatibTrial
#Justice4Syria
#SyrianLivesMatter
#CrimesAgainstHumanity
#WarCrimes
#محاكمات
#نظام
#نظام_التعذيب
#المخابرات""";;;;;;;;;;;;;;;;;;;;;;
culture;Tour de France;"#tourdefrance
#cycling
#tdf
#ciclismo
#bike
#giroditalia
#cyclinglife
#france
#velo
#cyclisme
#procycling
#cyclingphotos
#roadbike
#cyclist
#bikelife
#roadcycling
#bicycle
#letour
#mavic
#instacycling
#giro
#bici
#bikeporn
#girodeitalia
#vuelta
#cycle";;;;;;;;;;;;;;;;;;;;;;
politics & economy;Trump;"#impeachment
#trump
#maga
#impeachtrump
#impeach
#donaldtrump
#democrats
#kag
#dumptrump
#republican
#vote
#wwg
#notmypresident
#trumpmemes
#makeamericagreatagain
#wga
#qanon
#conservative
#liarinchief";;;;;;;;;;;;;;;;;;;;;;
social issues;Turkey riots;"#TurkeyIsBombingKurds
#KurdishResistance
#TurkeyInvadesKurdistan";;;;;;;;;;;;;;;;;;;;;;
religion;USA-India international relations;#KashmirBleeds;;;;;;;;;;;;;;;;;;;;;;
environment;Volcano eruption in Philippines;"#taalvolcano
#taal
#luzon
#volcano";;;;;;;;;;;;;;;;;;;;;;
social issues;Women rights in Sudan;"#mutilation
#fgm
#nofgm
#EndFGM
#GenerationEquality
#16DaysOfActivism
#SFFGM";;;;;;;;;;;;;;;;;;;;;;
violence & war;Yemen civil war;"#houthi
#yemencrisis
#yemencivilwar
#yemenwar
#الانتقالي_يمثل_الجنوب";;;;;;;;;;;;;;;;;;;;;;
